Feature,Coefficient,Std Error,T-Value,P-Value,CI Lower,CI Upper
intercept,77638.4360673027,27.03430103211106,-0.4437161885147402,0.6572588105156305,77585.44883727976,77691.42329732563
DURATION,-11.995557013128426,115.61474197266466,59.12508764986921,0.0,-238.60045127955115,214.60933725329429
MIN_YEARS_EXPERIENCE,6835.73175275081,3286.3923999393746,1.6572195090195123,0.09751111435299364,394.4026488696363,13277.060856631984
EMPLOYMENT_TYPE_NAME_vec_Full-time (> 32 hours),5446.273599472987,3964.5675162324565,0.6889305835944162,0.49088530046972534,-2324.2787323426273,13216.825931288602
EMPLOYMENT_TYPE_NAME_vec_Part-time (â‰¤ 32 hours),2731.3118126574914,3335.1334400752917,23.278959436642506,0.0,-3805.5497298900805,9268.173355205063
